Media de largo de colas TS - Time Series Histogram
procesed = 717.338
mean = 14708.1	variance = 6.86206e+07	sd = 8283.76
minX = 30	maxX = 28800
minY = 0	maxY = 0.943264

      30         0
 59.9688  0.882288
 89.9375  0.943114
 119.906  0.906784
 149.875  0.748617
 179.844   0.64083
 209.812  0.735749
 239.781  0.736234
  269.75  0.718679
 299.719  0.718679
 329.688  0.575505
 359.656  0.504643
 389.625  0.504643
 419.594  0.577748
 449.562  0.555494
 479.531  0.562823
   509.5  0.644996
 539.469  0.681184
 569.438  0.681184
 599.406  0.703196
 629.375  0.641555
 659.344  0.641555
 689.312  0.606997
 719.281  0.627424
  749.25  0.641989
 779.219  0.660954
 809.188  0.639053
 839.156  0.645422
 869.125  0.626088
 899.094  0.616662
 929.062  0.619785
 959.031  0.593014
     989  0.599512
 1018.97  0.615629
 1048.94  0.599592
 1078.91  0.603759
 1108.88  0.603759
 1138.84  0.700736
 1168.81  0.708489
 1198.78  0.695888
 1228.75  0.701243
 1258.72  0.706465
 1288.69  0.681398
 1318.66  0.680713
 1348.62  0.688807
 1378.59  0.688807
 1408.56  0.697986
 1438.53  0.703521
  1468.5  0.701281
 1498.47  0.691553
 1528.44  0.697465
 1558.41  0.697465
 1588.38  0.672132
 1618.34  0.662983
 1648.31  0.662983
 1678.28  0.662983
 1708.25  0.639216
 1738.22  0.633914
 1768.19  0.633914
 1798.16  0.633914
 1828.12  0.633914
 1858.09  0.633914
 1888.06  0.663829
 1918.03  0.663273
    1948  0.662422
 1977.97  0.667981
 2007.94   0.67284
 2037.91   0.67284
 2067.88   0.67284
 2097.84  0.648497
 2127.81  0.640032
 2157.78  0.642356
 2187.75  0.644964
 2217.72  0.642649
 2247.69  0.641356
 2277.66  0.646308
 2307.62  0.640907
 2337.59  0.631903
 2367.56  0.632943
 2397.53  0.621949
  2427.5  0.618861
 2457.47  0.620423
 2487.44  0.617795
 2517.41  0.617795
 2547.38  0.621095
 2577.34  0.616285
 2607.31  0.616285
 2637.28  0.621837
 2667.25  0.620859
 2697.22  0.625071
 2727.19  0.620435
 2757.16  0.612861
 2787.12  0.615563
 2817.09  0.616715
 2847.06  0.607654
 2877.03  0.602683
    2907  0.602683
 2936.97  0.602683
 2966.94  0.615456
 2996.91  0.609522
 3026.88  0.609522
 3056.84  0.609522
 3086.81  0.591138
 3116.78  0.592092
 3146.75   0.59748
 3176.72  0.590503
 3206.69  0.591843
 3236.66  0.594247
 3266.62  0.594201
 3296.59  0.598773
 3326.56  0.593339
 3356.53  0.618057
  3386.5  0.618057
 3416.47  0.636737
 3446.44  0.663335
 3476.41  0.676244
 3506.38  0.688755
 3536.34  0.698292
 3566.31  0.703348
 3596.28  0.705286
 3626.25  0.708118
 3656.22  0.707148
 3686.19  0.711024
 3716.16   0.71374
 3746.12  0.723445
 3776.09  0.722302
 3806.06  0.728281
 3836.03  0.728281
    3866  0.732307
 3895.97  0.731995
 3925.94  0.727876
 3955.91  0.721411
 3985.88  0.722771
 4015.84  0.724389
 4045.81  0.718467
 4075.78  0.717178
 4105.75  0.715083
 4135.72  0.717197
 4165.69  0.718374
 4195.66  0.720621
 4225.62  0.715968
 4255.59  0.713403
 4285.56  0.709766
 4315.53  0.703932
  4345.5  0.700607
 4375.47  0.694562
 4405.44  0.697172
 4435.41  0.697172
 4465.38  0.691727
 4495.34  0.691727
 4525.31  0.696143
 4555.28  0.697958
 4585.25  0.690391
 4615.22  0.687394
 4645.19  0.687394
 4675.16  0.691533
 4705.12  0.691533
 4735.09  0.693235
 4765.06  0.694642
 4795.03  0.694642
    4825  0.686286
 4854.97   0.68792
 4884.94   0.68792
 4914.91  0.690249
 4944.88  0.690783
 4974.84  0.689879
 5004.81  0.686075
 5034.78  0.682354
 5064.75   0.68388
 5094.72  0.686177
 5124.69  0.687001
 5154.66  0.680142
 5184.62  0.680739
 5214.59  0.680047
 5244.56  0.679991
 5274.53  0.679991
  5304.5   0.68298
 5334.47  0.687257
