Media de largo de colas TW - Time Weigthed Histogram
procesed = 28779.3
mean = 0.941834	variance = 2.47704	sd = 1.57386
minX = 0	maxX = 14
minY = 38.0895	maxY = 13548.1

       0 ***************************************************           11861.9
    0.28                                                                     0
    0.56                                                                     0
    0.84 ***********************************************************   13548.1
    1.12                                                                     0
     1.4                                                                     0
    1.68                                                                     0
    1.96 ******                                                        1514.06
    2.24                                                                     0
    2.52                                                                     0
     2.8 **                                                            654.511
    3.08                                                                     0
    3.36                                                                     0
    3.64                                                                     0
    3.92 *                                                             308.904
     4.2                                                                     0
    4.48                                                                     0
    4.76                                                                 201.6
    5.04                                                                     0
    5.32                                                                     0
     5.6                                                                     0
    5.88                                                               126.894
    6.16                                                                     0
    6.44                                                                     0
    6.72                                                               38.0895
       7                                                                     0
    7.28                                                                     0
    7.56                                                                     0
    7.84                                                               109.555
    8.12                                                                     0
     8.4                                                                     0
    8.68                                                                     0
    8.96                                                               119.198
    9.24                                                                     0
    9.52                                                                     0
     9.8                                                               123.855
   10.08                                                                     0
   10.36                                                                     0
   10.64                                                                     0
   10.92                                                               43.0043
    11.2                                                                     0
   11.48                                                                     0
   11.76                                                               71.7867
   12.04                                                                     0
   12.32                                                                     0
    12.6                                                                     0
   12.88                                                               38.0933
   13.16                                                                     0
   13.44                                                                     0
   13.72                                                               19.7503
