Media de tiempos de Espera TS - Time Series Histogram
procesed = 29652.7
mean = 16046.6	variance = 6.12153e+07	sd = 7824.02
minX = 30	maxX = 28800
minY = 0	maxY = 54.8046

      30         0
 59.9688         0
 89.9375         0
 119.906         0
 149.875         0
 179.844         0
 209.812         0
 239.781         0
  269.75   4.18024
 299.719   4.18024
 329.688   4.18024
 359.656   4.18024
 389.625   4.18024
 419.594   3.76222
 449.562    3.4202
 479.531   3.13518
   509.5    5.8199
 539.469    5.8199
 569.438    5.8199
 599.406   11.7702
 629.375   18.4901
 659.344   18.4901
 689.312   18.4901
 719.281   17.3344
  749.25   15.7194
 779.219   14.1475
 809.188   13.4738
 839.156   13.4738
 869.125   12.8614
 899.094   14.1464
 929.062   13.7585
 959.031   13.7585
     989   13.4523
 1018.97   14.0694
 1048.94   14.9971
 1078.91   14.9971
 1108.88   14.9971
 1138.84   14.9971
 1168.81   14.5284
 1198.78    18.743
 1228.75   18.2075
 1258.72   17.7017
 1288.69   17.7017
 1318.66     16.77
 1348.62     16.34
 1378.59     16.34
 1408.56   15.9315
 1438.53   15.9315
  1468.5    15.543
 1498.47   15.1729
 1528.44   14.5519
 1558.41   14.5519
 1588.38   17.4474
 1618.34   17.4474
 1648.31   17.4474
 1678.28   17.4474
 1708.25   17.0762
 1738.22   17.0762
 1768.19   17.0762
 1798.16   17.0762
 1828.12   17.0762
 1858.09   17.0762
 1888.06   16.3792
 1918.03   15.7369
    1948   15.7369
 1977.97   15.4342
 2007.94   16.5523
 2037.91   16.5523
 2067.88   16.5523
 2097.84   15.9612
 2127.81   15.6811
 2157.78   15.4108
 2187.75   15.3325
 2217.72   15.2059
 2247.69   15.0582
 2277.66   14.8229
 2307.62    14.702
 2337.59   14.4826
 2367.56   14.0628
 2397.53   14.0628
  2427.5   13.6818
 2457.47   13.4917
 2487.44   13.1271
 2517.41   13.1271
 2547.38   13.1147
 2577.34   12.6103
 2607.31   12.6103
 2637.28   12.3882
 2667.25   12.2352
 2697.22   11.9404
 2727.19   11.9404
 2757.16   11.9404
 2787.12   11.6594
 2817.09   11.5239
 2847.06   11.3914
 2877.03   11.3914
    2907   11.3914
 2936.97   11.3914
 2966.94   11.1354
 2996.91   11.1354
 3026.88   11.1354
 3056.84   11.1354
 3086.81   11.1354
 3116.78   11.0117
 3146.75   10.7723
 3176.72   10.7723
 3206.69   10.6565
 3236.66   10.5431
 3266.62    10.217
 3296.59    10.217
 3326.56    10.217
 3356.53   10.7601
  3386.5   10.7601
 3416.47   11.7209
 3446.44   11.7209
 3476.41   12.7586
 3506.38    14.083
 3536.34   14.7691
 3566.31   15.2559
 3596.28   15.3101
 3626.25    15.616
 3656.22    15.616
 3686.19   15.4727
 3716.16     15.49
 3746.12   16.7681
 3776.09   18.1692
 3806.06   18.1692
 3836.03   18.1692
    3866   19.1307
 3895.97   21.2485
 3925.94   20.8944
 3955.91   23.2855
 3985.88   22.9129
 4015.84   23.0862
 4045.81   23.1809
 4075.78   23.2295
 4105.75    23.192
 4135.72   23.0163
 4165.69   23.0163
 4195.66   22.8433
 4225.62   22.8551
 4255.59   24.5529
 4285.56    25.274
 4315.53    25.274
  4345.5   25.7933
 4375.47   25.7933
 4405.44   25.6078
 4435.41   25.6078
 4465.38   25.6078
 4495.34   25.6078
 4525.31   25.4249
 4555.28   25.2445
 4585.25   25.0668
 4615.22   25.0668
 4645.19   25.0668
 4675.16   24.8915
 4705.12   24.8915
 4735.09   24.7186
 4765.06   24.5481
 4795.03   24.5481
    4825   24.5481
 4854.97     24.38
 4884.94     24.38
 4914.91   24.0505
 4944.88   23.7299
 4974.84   23.4176
 5004.81   23.4176
 5034.78   23.4176
 5064.75   23.2646
 5094.72   22.9644
 5124.69   22.9644
 5154.66   23.2228
 5184.62   23.1025
 5214.59   22.9572
 5244.56   22.5321
 5274.53   22.5321
  5304.5   22.5321
 5334.47    22.342
 5364.44   22.3387
 5394.41    22.205
 5424.38    22.205
 5454.34   22.6451
 5484.31   22.6472
 5514.28    22.704
 5544.25   22.8022
 5574.22   23.8711
 5604.19   23.8711
 5634.16   23.8711
 5664.12   23.7355
 5694.09   23.6014
 5724.06   23.6014
 5754.03   25.3625
    5784   25.3625
 5813.97   25.3625
 5843.94   27.7921
 5873.91   29.4208
 5903.88   29.8241
 5933.84   30.4244
 5963.81   31.0844
 5993.78   30.9191
 6023.75   30.9626
 6053.72   30.9297
 6083.69   30.7647
 6113.66   30.7647
 6143.62   30.7647
 6173.59    30.607
 6203.56   30.4508
 6233.53   30.2962
  6263.5   30.2962
 6293.47   29.9918
 6323.44   29.9918
 6353.41   29.9918
 6383.38   30.5638
 6413.34   30.5638
 6443.31   31.5224
 6473.28   32.6018
 6503.25   32.5688
 6533.22   32.6327
 6563.19   32.4758
 6593.16   33.6854
 6623.12   33.6854
 6653.09   33.6854
 6683.06   33.5266
 6713.03   33.0587
    6743   33.6413
 6772.97   33.6413
 6802.94   33.4869
 6832.91    33.334
 6862.88   34.2818
 6892.84    34.776
 6922.81    34.776
 6952.78    34.776
 6982.75   35.1203
 7012.72   35.1203
 7042.69    35.373
 7072.66    35.779
 7102.62   35.6227
 7132.59    36.132
 7162.56   35.9756
 7192.53   35.9756
  7222.5   35.9756
 7252.47   36.7118
 7282.44   36.9966
 7312.41   37.1248
 7342.38   36.9669
 7372.34   36.7718
 7402.31   36.7718
 7432.28   37.2291
 7462.25   37.4177
 7492.22   37.4177
 7522.19   38.0618
 7552.16   38.1243
 7582.12   38.4385
 7612.09   38.4385
 7642.06   38.2835
 7672.03   38.2835
    7702   37.8259
 7731.97   37.6758
 7761.94   37.4327
 7791.91   37.4327
 7821.88    37.711
 7851.84   37.5855
 7881.81   37.5855
 7911.78   38.0469
 7941.75   38.0469
 7971.72   38.5195
 8001.69   38.5195
 8031.66   38.7229
 8061.62   38.7229
 8091.59   38.7229
 8121.56   38.7229
 8151.53   38.5745
  8181.5   38.5745
 8211.47   38.4273
 8241.44   38.4273
 8271.41   38.4273
 8301.38   38.4273
 8331.34   38.2812
 8361.31   38.2812
 8391.28   38.2812
 8421.25   38.1361
 8451.22   37.9922
 8481.19   37.9922
 8511.16   37.9922
 8541.12    37.863
 8571.09   37.7212
