Tiempos de Espera - Observation Histogram
procesed = 873
mean = 54.8046	variance = 21453	sd = 146.468
minX = 0	maxX = 1023.93
minY = 1	maxY = 604

       0 ***********************************************************       604
 20.4785 ****                                                               45
 40.9571 ****                                                               45
 61.4356 **                                                                 23
 81.9142 *                                                                  17
 102.393 **                                                                 26
 122.871 *                                                                  12
  143.35 **                                                                 22
 163.828 *                                                                  12
 184.307                                                                    10
 204.785                                                                    10
 225.264                                                                     6
 245.742                                                                     5
 266.221                                                                     1
   286.7                                                                     4
 307.178                                                                     1
 327.657                                                                     0
 348.135                                                                     3
 368.614                                                                     0
 389.092                                                                     1
 409.571                                                                     0
 430.049                                                                     0
 450.528                                                                     1
 471.006                                                                     1
 491.485                                                                     1
 511.964                                                                     0
 532.442                                                                     0
 552.921                                                                     0
 573.399                                                                     1
 593.878                                                                     1
 614.356                                                                     1
 634.835                                                                     1
 655.313                                                                     0
 675.792                                                                     0
  696.27                                                                     1
 716.749                                                                     1
 737.227                                                                     1
 757.706                                                                     0
 778.185                                                                     0
 798.663                                                                     2
 819.142                                                                     1
  839.62                                                                     1
 860.099                                                                     2
 880.577                                                                     2
 901.056                                                                     1
 921.534                                                                     4
 942.013                                                                     0
 962.491                                                                     1
  982.97                                                                     0
 1003.45                                                                     2
