Cantidad de clientes TS - Time Series Histogram
procesed = 3013.6
mean = 14634.5	variance = 6.72618e+07	sd = 8201.33
minX = 30	maxX = 28800
minY = 0	maxY = 3.53105

      30         0
 59.9688         2
 89.9375   2.57362
 119.906    2.8288
 149.875   2.46423
 179.844   2.46423
 209.812   2.48936
 239.781   2.64025
  269.75   2.64025
 299.719   2.53396
 329.688   2.53396
 359.656   2.22078
 389.625   2.22078
 419.594   2.18789
 449.562   2.13358
 479.531   2.15696
   509.5   2.32094
 539.469   2.32503
 569.438   2.32503
 599.406   2.32503
 629.375   2.11936
 659.344   2.11936
 689.312   2.11936
 719.281   2.10618
  749.25   2.16812
 779.219   2.19285
 809.188   2.20911
 839.156   2.24071
 869.125   2.34244
 899.094   2.40245
 929.062   2.43774
 959.031   2.45346
     989   2.52992
 1018.97   2.55974
 1048.94   2.70072
 1078.91    2.7356
 1108.88    2.7356
 1138.84   3.03178
 1168.81   3.10094
 1198.78   3.13264
 1228.75    3.2232
 1258.72   3.25876
 1288.69   3.25278
 1318.66   3.27269
 1348.62   3.23009
 1378.59   3.18208
 1408.56   3.15673
 1438.53   3.10928
  1468.5   3.09178
 1498.47   3.03305
 1528.44   2.99836
 1558.41   2.98632
 1588.38   2.98668
 1618.34    2.9808
 1648.31   2.90228
 1678.28   2.90228
 1708.25   2.83375
 1738.22   2.83375
 1768.19   2.78083
 1798.16   2.78083
 1828.12   2.78083
 1858.09   2.78083
 1888.06   2.65607
 1918.03   2.69186
    1948   2.69164
 1977.97   2.69638
 2007.94   2.68326
 2037.91   2.67667
 2067.88   2.67667
 2097.84   2.68855
 2127.81   2.70612
 2157.78   2.73098
 2187.75   2.74337
 2217.72   2.75185
 2247.69   2.75612
 2277.66   2.79601
 2307.62   2.81457
 2337.59   2.87433
 2367.56   2.89066
 2397.53    2.9319
  2427.5   2.95293
 2457.47   2.97827
 2487.44   3.02089
 2517.41    3.0325
 2547.38   3.03409
 2577.34   3.01546
 2607.31    3.0153
 2637.28   3.02421
 2667.25   3.02445
 2697.22   3.03986
 2727.19   3.03947
 2757.16   3.03947
 2787.12    3.0557
 2817.09   3.09187
 2847.06   3.10961
 2877.03   3.10961
    2907   3.09446
 2936.97   3.07832
 2966.94    3.0615
 2996.91    3.0615
 3026.88    3.0615
 3056.84   3.03514
 3086.81   3.02235
 3116.78   3.00874
 3146.75   2.99804
 3176.72   2.99309
 3206.69   2.99316
 3236.66   2.98543
 3266.62   3.00418
 3296.59   3.01718
 3326.56   3.02481
 3356.53   3.06334
  3386.5   3.07027
 3416.47   3.06315
 3446.44   3.06087
 3476.41   3.05603
 3506.38   3.04162
 3536.34   3.01626
 3566.31   3.01251
 3596.28   3.01896
 3626.25   3.02953
 3656.22   3.03332
 3686.19   3.04684
 3716.16   3.06096
 3746.12   3.09958
 3776.09   3.11794
 3806.06   3.15349
 3836.03   3.15895
    3866   3.14837
 3895.97   3.14837
 3925.94   3.11669
 3955.91   3.11669
 3985.88   3.12789
 4015.84   3.13384
 4045.81   3.13845
 4075.78   3.15999
 4105.75   3.16491
 4135.72   3.19083
 4165.69   3.19163
 4195.66   3.20074
 4225.62    3.1944
 4255.59   3.19237
 4285.56   3.18992
 4315.53   3.18992
  4345.5   3.18992
 4375.47   3.10827
 4405.44   3.09157
 4435.41   3.09157
 4465.38   3.09157
 4495.34   3.04682
 4525.31   3.03114
 4555.28   3.02499
 4585.25   3.00336
 4615.22   3.00336
 4645.19   3.00336
 4675.16   2.96794
 4705.12   2.96794
 4735.09   2.95444
 4765.06   2.94872
 4795.03   2.94118
    4825   2.90897
 4854.97   2.90432
 4884.94   2.90432
 4914.91   2.89493
 4944.88   2.90699
 4974.84   2.91599
 5004.81   2.91734
 5034.78   2.91734
 5064.75    2.9049
 5094.72   2.90394
 5124.69   2.90753
 5154.66     2.918
 5184.62    2.9198
 5214.59   2.92005
 5244.56   2.92254
 5274.53   2.92645
  5304.5   2.92359
 5334.47   2.93432
 5364.44   2.94384
 5394.41   2.95221
 5424.38   2.96239
 5454.34   2.96153
 5484.31   2.97552
 5514.28   2.99351
 5544.25   2.99351
 5574.22   3.04273
 5604.19   3.05301
 5634.16   3.05669
 5664.12   3.05279
 5694.09   3.04949
 5724.06   3.04949
 5754.03   3.04165
    5784   3.04327
 5813.97   3.04401
 5843.94    3.0405
 5873.91   3.03229
 5903.88    3.0284
 5933.84   3.03329
 5963.81   3.03326
 5993.78   3.02721
 6023.75   3.02869
 6053.72   3.03028
 6083.69   3.02801
 6113.66   3.02801
 6143.62   3.02801
 6173.59   3.02762
 6203.56     3.035
 6233.53   3.03879
  6263.5   3.03864
 6293.47   3.04579
 6323.44   3.04576
 6353.41   3.05049
 6383.38   3.04531
 6413.34   3.04531
 6443.31   3.05393
 6473.28   3.05483
 6503.25   3.05635
 6533.22   3.06113
 6563.19   3.07392
 6593.16   3.08334
 6623.12   3.08589
 6653.09   3.08589
 6683.06   3.08667
 6713.03   3.10286
    6743   3.13051
 6772.97   3.13051
 6802.94   3.17951
 6832.91   3.19108
 6862.88   3.20902
 6892.84   3.25164
 6922.81   3.27739
 6952.78   3.29661
 6982.75   3.33138
 7012.72   3.35466
 7042.69   3.37384
 7072.66   3.38291
 7102.62   3.41101
 7132.59   3.41101
 7162.56   3.45689
 7192.53   3.46542
  7222.5   3.46584
 7252.47   3.47444
 7282.44   3.48089
 7312.41   3.48862
 7342.38   3.49405
 7372.34   3.51241
 7402.31   3.52235
 7432.28   3.52541
 7462.25   3.52547
 7492.22   3.52435
 7522.19   3.53001
 7552.16   3.53105
 7582.12   3.52117
 7612.09   3.52117
 7642.06   3.50018
 7672.03   3.50018
    7702   3.47237
 7731.97   3.47822
 7761.94   3.48993
 7791.91   3.50355
 7821.88   3.50934
 7851.84   3.51335
 7881.81   3.51106
 7911.78   3.51106
 7941.75   3.50415
 7971.72   3.50415
 8001.69   3.47745
 8031.66   3.47572
 8061.62   3.47572
 8091.59   3.45931
 8121.56   3.45931
 8151.53   3.42527
  8181.5   3.42527
 8211.47    3.4186
 8241.44    3.4186
 8271.41   3.40015
 8301.38   3.38914
 8331.34    3.3738
 8361.31   3.36146
 8391.28   3.36146
 8421.25   3.34415
 8451.22   3.34122
 8481.19   3.33156
 8511.16   3.32116
 8541.12   3.32116
 8571.09   3.30025
 8601.06   3.29327
 8631.03   3.29327
    8661   3.27792
 8690.97   3.27177
 8720.94   3.27123
 8750.91   3.26392
 8780.88   3.26044
 8810.84   3.25078
 8840.81   3.24145
 8870.78   3.24254
 8900.75   3.25336
 8930.72   3.25415
 8960.69   3.25194
 8990.66    3.2556
 9020.62   3.26346
 9050.59   3.26805
 9080.56   3.27293
 9110.53   3.27293
  9140.5   3.28238
 9170.47   3.28238
 9200.44   3.28833
 9230.41   3.29604
 9260.38   3.29604
 9290.34   3.31368
 9320.31   3.32841
 9350.28   3.34066
 9380.25   3.35338
 9410.22   3.36187
 9440.19   3.37046
 9470.16   3.38717
 9500.12   3.38717
 9530.09   3.41302
 9560.06   3.42138
 9590.03   3.43053
    9620   3.43209
 9649.97   3.43706
 9679.94   3.43706
 9709.91   3.42998
 9739.88   3.42973
 9769.84   3.42826
 9799.81   3.42963
 9829.78   3.42777
 9859.75    3.4131
 9889.72    3.4131
 9919.69    3.4131
 9949.66    3.4131
 9979.62    3.4131
 10009.6    3.4131
 10039.6    3.4131
 10069.5   3.36472
 10099.5   3.36275
 10129.5   3.35338
 10159.4   3.34904
 10189.4   3.34211
 10219.4    3.3356
 10249.3   3.33207
 10279.3   3.33103
 10309.3   3.32918
 10339.2   3.32912
 10369.2   3.32885
 10399.2   3.32755
 10429.2   3.32521
 10459.1   3.32552
 10489.1   3.32486
 10519.1   3.32638
   10549   3.33017
   10579   3.32371
   10609   3.32189
 10638.9   3.31639
 10668.9   3.31032
 10698.9   3.31223
 10728.8   3.31025
 10758.8   3.30463
 10788.8   3.29844
 10818.8   3.28945
 10848.7   3.28748
 10878.7   3.28008
 10908.7   3.27993
 10938.6   3.28087
 10968.6   3.27734
 10998.6   3.27158
 11028.5   3.27158
 11058.5   3.25995
 11088.5   3.25619
 11118.4    3.2575
 11148.4   3.25309
 11178.4   3.25289
 11208.3   3.25701
 11238.3   3.25468
 11268.3   3.24014
 11298.2   3.23809
 11328.2   3.23503
 11358.2   3.23503
 11388.2   3.23179
 11418.1   3.23151
 11448.1   3.22583
 11478.1   3.22212
   11508   3.22212
   11538   3.22299
   11568   3.22538
 11597.9   3.23063
 11627.9   3.23037
 11657.9   3.22976
 11687.8   3.22789
 11717.8   3.22663
 11747.8   3.22531
 11777.8   3.22326
 11807.7   3.22536
 11837.7   3.22657
 11867.7   3.23883
 11897.6    3.2425
 11927.6   3.24651
 11957.6   3.24821
 11987.5   3.25096
 12017.5   3.25097
 12047.5    3.2521
 12077.4   3.25129
 12107.4   3.25032
 12137.4   3.25032
 12167.3   3.24158
 12197.3   3.23873
 12227.3   3.22761
 12257.2   3.22761
 12287.2    3.2194
 12317.2    3.2194
 12347.2   3.21272
 12377.1   3.20931
 12407.1    3.2105
 12437.1   3.21028
   12467   3.20726
   12497   3.20587
   12527   3.20417
 12556.9   3.20417
 12586.9   3.20304
 12616.9   3.19921
 12646.8   3.19531
 12676.8   3.19072
 12706.8   3.18301
 12736.8   3.18196
 12766.7   3.18397
 12796.7   3.18355
 12826.7   3.18355
 12856.6   3.18782
 12886.6   3.18589
 12916.6   3.18581
 12946.5   3.18265
 12976.5   3.18222
 13006.5   3.18571
 13036.4   3.18698
 13066.4   3.19502
 13096.4    3.2011
 13126.3    3.2011
 13156.3   3.20455
 13186.3   3.20802
 13216.2   3.20825
 13246.2   3.21241
 13276.2   3.21472
 13306.2   3.21669
 13336.1   3.21669
 13366.1   3.21269
 13396.1   3.21137
   13426   3.20958
   13456   3.20586
   13486   3.20445
 13515.9   3.19998
 13545.9   3.19998
 13575.9   3.19912
 13605.8   3.19349
 13635.8   3.18906
 13665.8    3.1837
 13695.8    3.1837
 13725.7    3.1837
 13755.7   3.18257
 13785.7   3.17911
 13815.6   3.17492
 13845.6   3.17486
 13875.6   3.17013
 13905.5   3.16863
 13935.5   3.16339
 13965.5   3.16474
 13995.4   3.16071
 14025.4   3.15528
 14055.4     3.153
 14085.3   3.15503
 14115.3   3.15528
 14145.3   3.15325
 14175.2   3.15325
 14205.2   3.14925
 14235.2   3.14925
 14265.2   3.14651
 14295.1   3.14603
 14325.1   3.14351
 14355.1   3.13744
   14385   3.13581
   14415   3.13152
   14445   3.13152
 14474.9   3.12774
 14504.9   3.12742
 14534.9    3.1256
 14564.8   3.12529
 14594.8   3.12376
 14624.8   3.12401
 14654.8    3.1329
 14684.7   3.13584
 14714.7   3.14251
 14744.7   3.14706
 14774.6   3.15123
 14804.6   3.15201
 14834.6   3.15702
 14864.5   3.15952
 14894.5    3.1578
 14924.5   3.15368
 14954.4   3.15166
 14984.4   3.15247
 15014.4   3.15768
 15044.3   3.15833
 15074.3   3.15833
 15104.3   3.16572
 15134.2   3.16368
 15164.2   3.16077
 15194.2   3.15435
 15224.2   3.14901
 15254.1   3.14688
 15284.1   3.14753
 15314.1   3.15152
   15344   3.15071
   15374   3.14726
   15404   3.14508
 15433.9   3.14508
 15463.9   3.13306
 15493.9   3.12843
 15523.8   3.13028
 15553.8   3.13111
 15583.8    3.1404
 15613.8   3.14201
 15643.7   3.13953
 15673.7   3.13805
 15703.7   3.13518
 15733.6   3.13411
 15763.6   3.13411
 15793.6   3.13364
 15823.5   3.13129
 15853.5   3.12691
 15883.5   3.12616
 15913.4   3.12438
 15943.4   3.12153
 15973.4   3.12136
 16003.3   3.12201
 16033.3   3.11929
 16063.3   3.11929
 16093.2   3.11229
 16123.2   3.10849
 16153.2   3.10849
 16183.2    3.1017
 16213.1   3.10151
