Media de largo de la cola TS - Time Series Histogram
procesed = 534.906
mean = 15056.4	variance = 6.21068e+07	sd = 7880.79
minX = 30	maxX = 28800
minY = 0	maxY = 0.80797

      30         0
 59.9688         0
 89.9375         0
 119.906         0
 149.875         0
 179.844         0
 209.812         0
 239.781         0
  269.75         0
 299.719         0
 329.688         0
 359.656         0
 389.625         0
 419.594         0
 449.562         0
 479.531         0
   509.5  0.109179
 539.469  0.105089
 569.438  0.105089
 599.406  0.105089
 629.375  0.0887774
 659.344  0.0887774
 689.312  0.0887774
 719.281  0.0887774
  749.25  0.0736247
 779.219  0.0732806
 809.188  0.0697552
 839.156  0.0697552
 869.125  0.140119
 899.094   0.13392
 929.062  0.141993
 959.031   0.13674
     989   0.17855
 1018.97  0.195401
 1048.94  0.259195
 1078.91  0.277596
 1108.88  0.277596
 1138.84  0.466682
 1168.81  0.498668
 1198.78  0.507035
 1228.75  0.551854
 1258.72  0.570144
 1288.69  0.556977
 1318.66  0.540536
 1348.62  0.531157
 1378.59  0.514442
 1408.56  0.506215
 1438.53  0.499401
  1468.5  0.499401
 1498.47  0.477484
 1528.44  0.469242
 1558.41  0.458898
 1588.38  0.458898
 1618.34  0.444139
 1648.31  0.429862
 1678.28  0.429862
 1708.25  0.429862
 1738.22  0.429862
 1768.19  0.406639
 1798.16  0.406639
 1828.12  0.406639
 1858.09  0.406639
 1888.06  0.406639
 1918.03  0.461441
    1948  0.460333
 1977.97  0.460333
 2007.94  0.444217
 2037.91  0.438866
 2067.88  0.438866
 2097.84  0.424427
 2127.81  0.424427
 2157.78  0.421751
 2187.75  0.416306
 2217.72  0.410291
 2247.69  0.410291
 2277.66  0.419796
 2307.62  0.419817
 2337.59  0.449459
 2367.56  0.457251
 2397.53  0.467862
  2427.5  0.474811
 2457.47  0.486761
 2487.44  0.502509
 2517.41  0.496547
 2547.38  0.493877
 2577.34   0.48703
 2607.31  0.479842
 2637.28  0.477086
 2667.25  0.469307
 2697.22  0.470891
 2727.19  0.461975
 2757.16  0.461975
 2787.12  0.470922
 2817.09  0.483862
 2847.06  0.487561
 2877.03  0.487561
    2907  0.480904
 2936.97  0.477198
 2966.94  0.477198
 2996.91  0.477198
 3026.88  0.477198
 3056.84  0.456518
 3086.81  0.453649
 3116.78  0.448102
 3146.75  0.448102
 3176.72  0.440475
 3206.69  0.440475
 3236.66  0.432659
 3266.62  0.442516
 3296.59  0.443637
 3326.56  0.445776
 3356.53  0.464002
  3386.5  0.458798
 3416.47  0.455747
 3446.44  0.451866
 3476.41  0.447264
 3506.38  0.444771
 3536.34  0.444771
 3566.31  0.444771
 3596.28  0.444771
 3626.25  0.435551
 3656.22  0.436635
 3686.19  0.434256
 3716.16  0.435341
 3746.12  0.460506
 3776.09  0.473514
 3806.06  0.493906
 3836.03  0.490722
    3866  0.486825
 3895.97  0.486825
 3925.94  0.486825
 3955.91  0.486825
 3985.88  0.499047
 4015.84  0.497841
 4045.81  0.495188
 4075.78  0.503422
 4105.75  0.506013
 4135.72   0.51377
 4165.69  0.512195
 4195.66   0.51305
 4225.62  0.508842
 4255.59   0.50438
 4285.56  0.503815
 4315.53  0.503815
  4345.5  0.503815
 4375.47  0.490919
 4405.44  0.490919
 4435.41  0.490919
 4465.38  0.490919
 4495.34   0.47998
 4525.31   0.47998
 4555.28   0.47998
 4585.25  0.468626
 4615.22  0.468626
 4645.19  0.468626
 4675.16  0.460121
 4705.12  0.460121
 4735.09  0.454142
 4765.06  0.454142
 4795.03  0.449675
    4825   0.44475
 4854.97   0.44475
 4884.94   0.44475
 4914.91   0.44475
 4944.88   0.45826
 4974.84  0.459162
 5004.81  0.458487
 5034.78  0.458487
 5064.75  0.451818
 5094.72  0.448981
 5124.69  0.450788
 5154.66  0.446468
 5184.62  0.445338
 5214.59  0.443292
 5244.56  0.443805
 5274.53  0.442197
  5304.5  0.440373
 5334.47  0.446041
 5364.44  0.447028
 5394.41  0.450395
 5424.38  0.451842
 5454.34  0.450057
 5484.31  0.453741
 5514.28  0.464665
 5544.25  0.464665
 5574.22  0.498477
 5604.19  0.501114
 5634.16  0.498376
 5664.12  0.496617
 5694.09  0.493468
 5724.06  0.493468
 5754.03  0.489003
    5784  0.490546
 5813.97  0.486398
 5843.94  0.485186
 5873.91   0.48178
 5903.88   0.48178
 5933.84   0.48178
 5963.81   0.47601
 5993.78  0.473576
 6023.75  0.474831
 6053.72  0.474831
 6083.69  0.470472
 6113.66  0.470472
 6143.62  0.470472
 6173.59  0.470472
 6203.56   0.47893
 6233.53  0.478096
  6263.5  0.476243
 6293.47  0.474233
 6323.44  0.472311
 6353.41    0.4693
 6383.38  0.467565
 6413.34  0.467565
 6443.31  0.467565
 6473.28  0.460147
 6503.25  0.460147
 6533.22  0.459097
 6563.19  0.464682
 6593.16   0.46917
 6623.12  0.467866
 6653.09  0.467866
 6683.06  0.463846
 6713.03  0.473712
    6743  0.494184
 6772.97  0.494184
 6802.94  0.530988
 6832.91  0.538481
 6862.88  0.552262
