Media de tiempos de Espera TS - Time Series Histogram
procesed = 13961
mean = 15515.3	variance = 5.96574e+07	sd = 7723.82
minX = 30	maxX = 28800
minY = 0	maxY = 23.6771

      30         0
 59.9688         0
 89.9375         0
 119.906         0
 149.875         0
 179.844         0
 209.812         0
 239.781         0
  269.75         0
 299.719         0
 329.688         0
 359.656         0
 389.625         0
 419.594         0
 449.562         0
 479.531         0
   509.5  0.164307
 539.469  0.153353
 569.438  0.153353
 599.406  0.153353
 629.375  0.153353
 659.344  0.153353
 689.312  0.153353
 719.281  0.143769
  749.25  0.127794
 779.219  0.115015
 809.188  0.109538
 839.156  0.104559
 869.125  0.104559
 899.094  0.921046
 929.062  0.981783
 959.031  0.981783
     989  0.945421
 1018.97   1.16792
 1048.94    4.1897
 1078.91    4.1897
 1108.88    4.1897
 1138.84    4.1897
 1168.81   11.3655
 1198.78   12.5361
 1228.75   13.9499
 1258.72   13.7935
 1288.69   13.7935
 1318.66   13.0675
 1348.62   12.7325
 1378.59   12.7325
 1408.56   12.4142
 1438.53   12.1114
  1468.5    11.823
 1498.47   11.5481
 1528.44   11.0348
 1558.41   11.0348
 1588.38   10.7949
 1618.34   10.7949
 1648.31   10.7949
 1678.28   10.7949
 1708.25   10.5653
 1738.22   10.5653
 1768.19   10.5653
 1798.16   10.5653
 1828.12   10.5653
 1858.09   10.5653
 1888.06    10.134
 1918.03    9.7366
    1948   9.55667
 1977.97   9.37636
 2007.94   9.20272
 2037.91   9.20272
 2067.88   9.20272
 2097.84   8.87405
 2127.81   8.71837
 2157.78   8.56805
 2187.75    8.5235
 2217.72   8.24855
 2247.69   8.11762
 2277.66   8.13303
 2307.62   8.24114
 2337.59   8.24114
 2367.56   8.89573
 2397.53   9.57785
  2427.5   10.4793
 2457.47   10.6344
 2487.44   10.7831
 2517.41   11.0408
 2547.38   10.8936
 2577.34   10.4747
 2607.31   10.4747
 2637.28   10.2128
 2667.25   10.0867
 2697.22   9.84833
 2727.19   9.84833
 2757.16   9.84833
 2787.12   9.73109
 2817.09   10.1754
 2847.06    10.092
 2877.03    10.092
    2907    10.092
 2936.97    10.092
 2966.94   9.86519
 2996.91   9.86519
 3026.88   9.86519
 3056.84   9.86519
 3086.81   9.86519
 3116.78   9.75558
 3146.75    9.5435
 3176.72    9.5435
 3206.69   9.44089
 3236.66   9.34045
 3266.62   9.19327
 3296.59   9.26926
 3326.56   9.33941
 3356.53   9.86391
  3386.5   10.0502
 3416.47   10.0502
 3446.44   9.95172
 3476.41    9.8551
 3506.38    9.8551
 3536.34   9.76034
 3566.31   9.57618
 3596.28   9.48668
 3626.25   9.39884
 3656.22   9.46019
 3686.19   9.65597
 3716.16    9.9523
 3746.12    9.9523
 3776.09   10.4552
 3806.06   11.5318
 3836.03   11.7028
    3866   11.7028
 3895.97   11.7028
 3925.94   11.4174
 3955.91   11.4174
 3985.88   11.1887
 4015.84   11.0139
 4045.81   11.0953
 4075.78   11.1797
 4105.75   11.1797
 4135.72   11.8911
 4165.69   11.7944
 4195.66   11.6511
 4225.62    11.566
 4255.59   11.4822
 4285.56   11.4822
 4315.53   11.4822
  4345.5   11.4822
 4375.47   11.4822
 4405.44   11.3996
 4435.41   11.3996
 4465.38   11.3996
 4495.34   11.3996
 4525.31   11.3182
 4555.28   11.2379
 4585.25   11.1588
 4615.22   11.1588
 4645.19   11.1588
 4675.16   11.0807
 4705.12   11.0807
 4735.09   11.0038
 4765.06   10.9279
 4795.03   10.9279
    4825   10.9279
 4854.97    10.853
 4884.94    10.853
 4914.91   10.7064
 4944.88   10.6345
 4974.84   10.5612
 5004.81   10.5322
 5034.78   10.5322
 5064.75   10.4633
 5094.72   10.3283
 5124.69   10.2621
 5154.66   10.5114
 5184.62   10.4449
 5214.59   10.3792
 5244.56   10.2502
 5274.53   10.3048
  5304.5   10.1791
 5334.47   10.1175
 5364.44   10.3182
 5394.41    10.271
 5424.38   10.5003
 5454.34    10.379
 5484.31   10.3536
 5514.28   10.3536
 5544.25   10.3536
 5574.22   11.1488
 5604.19   11.5815
 5634.16   11.8977
 5664.12   11.8313
 5694.09   11.7655
 5724.06   11.7655
 5754.03   11.6362
    5784   11.6116
 5813.97   11.5485
 5843.94   11.5485
 5873.91    11.486
 5903.88   11.3632
 5933.84   11.3028
 5963.81   11.3028
 5993.78    11.243
 6023.75   11.0801
 6053.72   11.0227
 6083.69   10.9659
 6113.66   10.9659
 6143.62   10.9659
 6173.59    10.854
 6203.56   10.8472
 6233.53   10.7659
  6263.5   10.7659
 6293.47   10.6593
 6323.44   10.6593
 6353.41   10.6068
 6383.38   10.5033
 6413.34   10.5033
 6443.31   10.4523
 6473.28   10.4018
 6503.25   10.3518
 6533.22   10.2534
 6563.19   10.2534
 6593.16    10.434
 6623.12   10.5809
 6653.09   10.5809
 6683.06   10.5315
 6713.03   10.5315
    6743   10.7218
 6772.97   10.7218
 6802.94   11.1812
 6832.91   11.7198
 6862.88   11.7198
 6892.84   12.4907
 6922.81   13.2618
 6952.78   14.2897
 6982.75   15.1528
 7012.72   15.6877
 7042.69   16.1881
 7072.66   16.7564
 7102.62   17.2487
 7132.59   17.2487
 7162.56   18.6907
 7192.53   18.8375
  7222.5    18.884
 7252.47   18.8103
 7282.44   18.7218
 7312.41   18.7218
 7342.38    18.726
 7372.34    18.726
 7402.31   19.0229
 7432.28   19.3199
 7462.25   19.0853
 7492.22   19.0077
 7522.19   19.0077
 7552.16   19.0039
 7582.12   19.0039
 7612.09   19.0039
 7642.06   18.9273
 7672.03   18.9273
    7702   18.7011
 7731.97   18.6268
 7761.94   18.7126
 7791.91   18.7126
 7821.88   19.0484
 7851.84   19.0737
 7881.81   19.0001
 7911.78   19.0001
 7941.75   19.0001
 7971.72   19.0001
 8001.69   19.0001
 8031.66    18.927
 8061.62    18.927
 8091.59    18.927
 8121.56    18.927
 8151.53   18.8545
  8181.5   18.8545
 8211.47   18.7825
 8241.44   18.7825
 8271.41   18.7825
 8301.38   18.7825
 8331.34   18.7111
 8361.31   18.7111
 8391.28   18.7111
 8421.25   18.6402
 8451.22   18.5699
 8481.19   18.5699
 8511.16   18.5001
 8541.12   18.5001
 8571.09   18.4308
 8601.06   18.4308
 8631.03   18.4308
    8661    18.362
 8690.97   18.2937
 8720.94    18.226
 8750.91    18.226
 8780.88   18.1587
 8810.84   18.1587
 8840.81   18.0257
