Media de largo de colas TS - Time Series Histogram
procesed = 486.889
mean = 2283.12	variance = 826699	sd = 909.23
minX = 30	maxX = 3600
minY = 0.699807	maxY = 6.90888

      30         1
   59.75  0.891299
    89.5   0.85398
  119.25  0.699807
     149   0.71306
  178.75  0.765231
   208.5  0.751853
  238.25  0.841007
     268  0.986068
  297.75   1.03106
   327.5   1.24493
  357.25   1.35501
     387   1.39398
  416.75   1.44436
   446.5   1.46266
  476.25   1.47675
     506   1.49284
  535.75   1.55368
   565.5   1.63503
  595.25   1.68507
     625   1.76185
  654.75   1.85027
   684.5   1.96309
  714.25   2.07757
     744   2.09593
  773.75   2.18864
   803.5   2.20452
  833.25   2.29841
     863   2.36143
  892.75   2.40926
   922.5   2.57746
  952.25   2.58882
     982   2.66843
 1011.75   2.79513
  1041.5   3.03269
 1071.25   3.04682
    1101   3.20488
 1130.75   3.23509
  1160.5   3.30977
 1190.25   3.33278
    1220   3.52704
 1249.75   3.66024
  1279.5   3.65805
 1309.25   3.64907
    1339   3.64307
 1368.75   3.74096
  1398.5   3.83128
 1428.25   3.81071
    1458   3.87017
 1487.75   3.95306
  1517.5   3.95835
 1547.25   3.94349
    1577     3.914
 1606.75   3.90444
  1636.5   3.90042
 1666.25   3.91996
    1696   3.90526
 1725.75   3.91627
  1755.5    4.0178
 1785.25   4.06592
    1815   4.07869
 1844.75   4.13555
  1874.5   4.23277
 1904.25   4.30967
    1934   4.30753
 1963.75    4.3585
  1993.5   4.40005
 2023.25   4.41469
    2053   4.50398
 2082.75   4.53232
  2112.5    4.6658
 2142.25   4.71052
    2172   4.71232
 2201.75   4.71796
  2231.5   4.73627
 2261.25   4.82114
    2291   4.97774
 2320.75   5.04019
  2350.5   5.12951
 2380.25   5.18137
    2410   5.25824
 2439.75   5.33472
  2469.5   5.36461
 2499.25   5.38785
    2529   5.41065
 2558.75   5.43188
  2588.5   5.46847
 2618.25   5.53751
    2648   5.58199
 2677.75   5.61874
  2707.5   5.66554
 2737.25   5.70187
    2767   5.73181
 2796.75   5.78276
  2826.5   5.82889
 2856.25   5.84444
    2886   5.88252
 2915.75   5.91532
  2945.5   5.97805
 2975.25   6.01224
    3005   6.05095
 3034.75   6.10291
  3064.5   6.14592
 3094.25   6.20058
    3124    6.2413
 3153.75   6.32251
  3183.5   6.37707
 3213.25   6.41389
    3243   6.52203
 3272.75   6.59113
  3302.5   6.66237
 3332.25   6.70949
    3362   6.71594
 3391.75   6.73742
  3421.5   6.79799
 3451.25   6.88046
    3481   6.89257
 3510.75   6.89903
  3540.5   6.90888
 3570.25   6.94204
