Media de tiempos de Espera TS - Time Series Histogram
procesed = 26850.3
mean = 2412.33	variance = 689587	sd = 830.414
minX = 30	maxX = 3600
minY = 0	maxY = 427.45

      30         0
   59.75         0
    89.5  0.760279
  119.25   7.35428
     149   6.44207
  178.75   6.44207
   208.5   5.85643
  238.25   5.85643
     268   9.65514
  297.75   8.91244
   327.5   28.7557
  357.25   34.2781
     387   40.0397
  416.75   40.0397
   446.5   47.5873
  476.25   50.5246
     506   53.6318
  535.75   53.6318
   565.5   63.3055
  595.25   67.7575
     625   71.8993
  654.75   85.8558
   684.5   89.2837
  714.25   89.2837
     744   89.2837
  773.75    95.976
   803.5   95.9605
  833.25   95.4032
     863   95.4032
  892.75   110.623
   922.5   110.623
  952.25   112.159
     982   114.116
 1011.75   121.343
  1041.5   128.024
 1071.25   128.024
    1101   128.024
 1130.75   141.798
  1160.5   158.901
 1190.25   167.219
    1220   168.323
 1249.75   175.713
  1279.5    179.84
 1309.25   192.094
    1339   191.643
 1368.75   193.716
  1398.5   199.599
 1428.25   199.599
    1458    207.38
 1487.75   211.615
  1517.5   215.415
 1547.25   215.415
    1577   212.112
 1606.75   217.443
  1636.5   219.446
 1666.25   223.121
    1696   225.005
 1725.75   225.005
  1755.5   225.005
 1785.25   224.916
    1815     226.3
 1844.75   235.929
  1874.5   235.569
 1904.25   241.385
    1934   240.466
 1963.75    245.49
  1993.5   247.696
 2023.25   248.934
    2053   252.443
 2082.75   257.782
  2112.5   263.257
 2142.25   264.067
    2172   264.067
 2201.75   263.662
  2231.5   263.662
 2261.25   272.182
    2291   272.182
 2320.75   287.317
  2350.5   295.954
 2380.25   303.317
    2410   303.469
 2439.75   314.291
  2469.5   314.291
 2499.25   314.553
    2529   319.301
 2558.75   319.785
  2588.5   326.175
 2618.25   330.436
    2648   337.682
 2677.75   339.931
  2707.5   344.962
 2737.25   345.996
    2767    347.33
 2796.75   352.129
  2826.5   359.025
 2856.25   361.956
    2886   362.689
 2915.75   364.804
  2945.5   365.623
 2975.25   365.623
    3005   368.502
 3034.75   369.769
  3064.5   373.438
 3094.25   374.452
    3124   379.105
 3153.75   386.619
  3183.5   389.654
 3213.25   390.834
    3243    396.84
 3272.75   398.244
  3302.5   398.244
 3332.25   407.696
    3362   407.696
 3391.75   411.391
  3421.5   413.798
 3451.25   418.371
    3481   424.263
 3510.75   426.099
  3540.5    427.45
 3570.25    433.71
