Cantidad de clientes TS - Time Series Histogram
procesed = 2535.57
mean = 2309.19	variance = 802732	sd = 895.953
minX = 30	maxX = 3600
minY = 2	maxY = 37.3402

      30         2
   59.75   2.34963
    89.5   3.20978
  119.25   3.61084
     149   3.83825
  178.75   4.15095
   208.5   4.39075
  238.25   4.57713
     268   4.94249
  297.75   5.57764
   327.5    5.8374
  357.25   6.16173
     387    6.6024
  416.75   6.85652
   446.5   7.19577
  476.25   7.42309
     506   7.85344
  535.75   8.07605
   565.5   8.46225
  595.25   8.78623
     625    9.0785
  654.75   9.32901
   684.5   9.66254
  714.25   9.85203
     744   10.3096
  773.75   10.6157
   803.5   11.1455
  833.25   11.4822
     863   11.9218
  892.75    12.371
   922.5   12.8151
  952.25   13.2052
     982   13.5497
 1011.75    13.878
  1041.5   14.3279
 1071.25   14.8192
    1101   15.1946
 1130.75   15.6008
  1160.5   16.0164
 1190.25   16.2096
    1220   16.6507
 1249.75   17.1329
  1279.5   17.5421
 1309.25   17.7868
    1339   18.1324
 1368.75   18.4151
  1398.5   18.7202
 1428.25   18.8535
    1458   19.1402
 1487.75   19.4249
  1517.5   19.6923
 1547.25   19.9647
    1577   20.2019
 1606.75   20.4527
  1636.5   20.7258
 1666.25    20.929
    1696      21.2
 1725.75   21.3608
  1755.5    21.636
 1785.25   21.9219
    1815   22.2153
 1844.75   22.5145
  1874.5   22.7991
 1904.25   23.0162
    1934   23.1958
 1963.75   23.4956
  1993.5   23.7841
 2023.25   23.9816
    2053   24.2434
 2082.75   24.5144
  2112.5   24.7779
 2142.25   24.9051
    2172   25.1786
 2201.75   25.4925
  2231.5   25.8201
 2261.25   26.0144
    2291   26.2685
 2320.75   26.5304
  2350.5    26.787
 2380.25    26.908
    2410   27.2346
 2439.75   27.4406
  2469.5   27.6445
 2499.25   27.8973
    2529   28.1651
 2558.75   28.3753
  2588.5   28.6345
 2618.25   28.7708
    2648   29.0416
 2677.75   29.3035
  2707.5    29.565
 2737.25   29.8259
    2767   30.0863
 2796.75   30.3637
  2826.5   30.6574
 2856.25   30.8001
    2886   31.0987
 2915.75    31.408
  2945.5    31.761
 2975.25   32.0001
    3005   32.3123
 3034.75   32.6604
  3064.5   32.9475
 3094.25   33.0979
    3124   33.5052
 3153.75   33.7233
  3183.5   34.0303
 3213.25   34.3321
    3243   34.6389
 3272.75   34.9494
  3302.5   35.2128
 3332.25   35.3542
    3362   35.7194
 3391.75   35.9163
  3421.5   36.2557
 3451.25   36.5003
    3481   36.7921
 3510.75   37.0647
  3540.5   37.3402
 3570.25   37.5285
