Media de largo de colas TS - Time Series Histogram
procesed = 840.683
mean = 15139.4	variance = 6.35047e+07	sd = 7968.98
minX = 30	maxX = 28800
minY = 0	maxY = 1.11552

      30         0
 59.9688         1
 89.9375         1
 119.906   0.82144
 149.875  0.699143
 179.844  0.699143
 209.812  0.720378
 239.781  0.685803
  269.75  0.685803
 299.719  0.585477
 329.688  0.585477
 359.656  0.454605
 389.625  0.454605
 419.594  0.535921
 449.562  0.542591
 479.531  0.543154
   509.5  0.558707
 539.469  0.563599
 569.438  0.563599
 599.406  0.517941
 629.375  0.517941
 659.344  0.517941
 689.312  0.517941
 719.281  0.603419
  749.25  0.623198
 779.219  0.589166
 809.188  0.579451
 839.156  0.578845
 869.125  0.588747
 899.094  0.609085
 929.062  0.617217
 959.031  0.592621
     989  0.593636
 1018.97  0.605122
 1048.94  0.576941
 1078.91  0.580602
 1108.88  0.580602
 1138.84  0.545625
 1168.81  0.583303
 1198.78  0.592373
 1228.75  0.625468
 1258.72  0.616692
 1288.69  0.602119
 1318.66  0.613296
 1348.62  0.601178
 1378.59  0.601178
 1408.56  0.675379
 1438.53  0.697245
  1468.5  0.702022
 1498.47   0.80035
 1528.44  0.818187
 1558.41  0.801699
 1588.38  0.805333
 1618.34  0.805333
 1648.31  0.805333
 1678.28  0.778569
 1708.25  0.803662
 1738.22  0.803662
 1768.19  0.781274
 1798.16  0.789279
 1828.12  0.789279
 1858.09  0.796647
 1888.06  0.801299
 1918.03  0.794347
    1948  0.786498
 1977.97   0.77498
 2007.94  0.775621
 2037.91  0.771955
 2067.88   0.76143
 2097.84  0.767423
 2127.81   0.76568
 2157.78  0.760726
 2187.75  0.754708
 2217.72  0.756352
 2247.69  0.757841
 2277.66  0.747528
 2307.62  0.746263
 2337.59  0.749454
 2367.56  0.744744
 2397.53   0.73663
  2427.5  0.747818
 2457.47   0.74854
 2487.44  0.753281
 2517.41  0.744734
 2547.38  0.749873
 2577.34  0.754921
 2607.31  0.754921
 2637.28  0.814534
 2667.25  0.807472
 2697.22  0.802685
 2727.19   0.79894
 2757.16  0.789726
 2787.12  0.788224
 2817.09  0.789213
 2847.06  0.787593
 2877.03  0.782721
    2907  0.782721
 2936.97  0.786403
 2966.94  0.813057
 2996.91  0.814548
 3026.88  0.805424
 3056.84  0.802167
 3086.81  0.802167
 3116.78  0.805953
 3146.75  0.806371
 3176.72  0.806371
 3206.69  0.806259
 3236.66  0.807785
