Media de largo de colas TW - Time Weigthed Histogram
procesed = 28789.8
mean = 0.881603	variance = 1.71243	sd = 1.3086
minX = 0	maxX = 12
minY = 24.2952	maxY = 13392.7

       0 ****************************************************          11944.5
    0.24                                                                     0
    0.48                                                                     0
    0.72                                                                     0
    0.96 ***********************************************************   13392.7
     1.2                                                                     0
    1.44                                                                     0
    1.68                                                                     0
    1.92 *******                                                       1604.35
    2.16                                                                     0
     2.4                                                                     0
    2.64                                                                     0
    2.88 ***                                                           762.569
    3.12                                                                     0
    3.36                                                                     0
     3.6                                                                     0
    3.84 **                                                             513.95
    4.08                                                                     0
    4.32                                                                     0
    4.56                                                                     0
     4.8                                                                145.53
    5.04                                                                     0
    5.28                                                                     0
    5.52                                                                     0
    5.76                                                                     0
       6                                                                24.663
    6.24                                                                     0
    6.48                                                                     0
    6.72                                                                     0
    6.96                                                               61.9297
     7.2                                                                     0
    7.44                                                                     0
    7.68                                                                     0
    7.92                                                               85.6995
    8.16                                                                     0
     8.4                                                                     0
    8.64                                                                     0
    8.88                                                               173.185
    9.12                                                                     0
    9.36                                                                     0
     9.6                                                                     0
    9.84                                                               24.2952
   10.08                                                                     0
   10.32                                                                     0
   10.56                                                                     0
    10.8                                                               36.6001
   11.04                                                                     0
   11.28                                                                     0
   11.52                                                                     0
   11.76                                                               19.7702
