Media de tiempos de Espera TS - Time Series Histogram
procesed = 46593
mean = 16270.7	variance = 5.72858e+07	sd = 7568.74
minX = 30	maxX = 28800
minY = 0	maxY = 68.2113

      30         0
 59.9688         0
 89.9375         0
 119.906         0
 149.875         0
 179.844         0
 209.812         0
 239.781         0
  269.75         0
 299.719         0
 329.688         0
 359.656         0
 389.625         0
 419.594         0
 449.562         0
 479.531         0
   509.5         0
 539.469   2.29906
 569.438   2.29906
 599.406   2.29906
 629.375   2.29906
 659.344   2.29906
 689.312   2.29906
 719.281   2.15537
  749.25   2.02858
 779.219   1.81505
 809.188   4.75489
 839.156   4.53876
 869.125   4.34142
 899.094   4.34142
 929.062   4.16053
 959.031    6.2807
     989   7.41072
 1018.97   7.65299
 1048.94   7.65299
 1078.91   7.40612
 1108.88   7.40612
 1138.84    11.341
 1168.81    11.341
 1198.78   12.6987
 1228.75   12.6987
 1258.72   12.3253
 1288.69   12.3253
 1318.66   14.9055
 1348.62   14.9055
 1378.59   14.9055
 1408.56   14.9055
 1438.53   19.6671
  1468.5   19.1628
 1498.47   19.1628
 1528.44   18.6837
 1558.41   18.6837
 1588.38    18.228
 1618.34    18.228
 1648.31    18.228
 1678.28   25.2623
 1708.25   30.8674
 1738.22   30.8674
 1768.19   30.8674
 1798.16   37.9235
 1828.12   37.9235
 1858.09   44.6064
 1888.06   42.7478
 1918.03   48.8368
    1948   48.7666
 1977.97   47.8779
 2007.94   46.9913
 2037.91   46.9913
 2067.88   46.9913
 2097.84    45.313
 2127.81    44.518
 2157.78   43.7505
 2187.75   42.6401
 2217.72   41.2646
 2247.69   40.6096
 2277.66   39.9751
 2307.62   39.9859
 2337.59   39.3801
 2367.56   38.2218
 2397.53   38.2218
  2427.5   37.6679
 2457.47   37.1298
 2487.44   38.2644
 2517.41   38.2644
 2547.38   38.2644
 2577.34   39.2769
 2607.31   39.2769
 2637.28   39.5897
 2667.25   39.0821
 2697.22   38.8381
 2727.19   38.8381
 2757.16   40.6165
 2787.12   41.3927
 2817.09   40.9057
 2847.06   40.9057
 2877.03   40.9057
    2907   40.9057
 2936.97   43.9045
 2966.94   44.8173
 2996.91   44.7021
 3026.88   44.8488
 3056.84   44.8488
 3086.81   44.8488
 3116.78   44.3505
 3146.75   43.3864
 3176.72   43.3864
 3206.69   42.9199
 3236.66   42.4633
 3266.62     41.15
 3296.59     41.15
 3326.56   40.9268
 3356.53   40.5986
  3386.5   40.5319
 3416.47   40.5319
 3446.44   40.1346
 3476.41   39.7449
 3506.38   39.7449
 3536.34   39.3627
 3566.31   38.6201
 3596.28   38.2591
 3626.25   37.2157
 3656.22   37.2157
 3686.19   36.2488
 3716.16   35.9309
 3746.12   35.3518
 3776.09   35.0773
 3806.06   35.0547
 3836.03   35.0547
    3866   35.9034
 3895.97   35.9034
 3925.94   35.9241
 3955.91   35.9241
 3985.88   35.3447
 4015.84     35.08
 4045.81     35.08
 4075.78     35.08
 4105.75   35.4509
 4135.72   35.4509
 4165.69   37.4652
 4195.66   37.4652
 4225.62    38.736
 4255.59    38.736
 4285.56   40.6145
 4315.53   41.4872
  4345.5   41.9683
 4375.47    42.523
 4405.44   43.4724
 4435.41   43.4724
 4465.38   43.4724
 4495.34   43.4724
 4525.31   43.1619
 4555.28   42.8557
 4585.25   42.5539
 4615.22   42.5539
 4645.19   42.5539
 4675.16   42.2564
 4705.12   42.2564
 4735.09   41.9629
 4765.06   41.6735
 4795.03   41.6735
    4825   41.6735
 4854.97   41.3881
 4884.94   41.3881
 4914.91   40.8288
 4944.88   40.5548
 4974.84   40.2844
 5004.81   40.3646
 5034.78   40.3383
 5064.75   40.0746
 5094.72   39.8144
 5124.69   39.1814
 5154.66   39.1814
 5184.62   38.9334
 5214.59   38.6885
 5244.56   38.4467
 5274.53   38.3026
  5304.5    37.851
 5334.47    37.171
 5364.44   36.9498
 5394.41   36.5151
 5424.38   36.5509
 5454.34   36.1284
 5484.31   35.9207
 5514.28   35.5484
 5544.25   35.5484
 5574.22   35.5484
 5604.19   35.9649
 5634.16   35.9649
 5664.12   36.0661
 5694.09   35.8657
 5724.06   35.8657
 5754.03   35.4716
    5784   35.2777
 5813.97    35.086
 5843.94    35.086
 5873.91   34.8964
 5903.88   34.5231
 5933.84   34.3395
 5963.81   34.3395
 5993.78   34.1578
 6023.75    33.978
 6053.72   33.9442
 6083.69   33.7722
 6113.66   33.7722
 6143.62   33.7722
 6173.59   33.5981
 6203.56   34.2888
 6233.53   33.9424
  6263.5   34.1074
 6293.47   34.1074
 6323.44   34.1074
 6353.41   34.4319
 6383.38   34.4319
 6413.34   34.8756
 6443.31   34.8756
 6473.28   35.4845
 6503.25   35.6929
 6533.22   36.0742
 6563.19   35.5588
 6593.16   36.0525
 6623.12   36.0525
 6653.09   36.6977
 6683.06   37.1269
 6713.03   36.7831
    6743   36.7831
 6772.97   36.9683
 6802.94   36.8838
 6832.91   37.3159
 6862.88    37.147
 6892.84   36.9236
 6922.81   36.9236
 6952.78   36.8434
 6982.75   36.6811
 7012.72   36.6811
 7042.69   36.3607
 7072.66   36.3607
 7102.62   36.1902
 7132.59   36.1902
 7162.56   36.0342
 7192.53   35.8796
  7222.5   35.8796
 7252.47   35.7263
 7282.44   35.5742
 7312.41   35.3122
 7342.38   35.1645
 7372.34    35.018
 7402.31   35.0423
 7432.28   35.0423
 7462.25   34.8975
 7492.22   34.7539
 7522.19   34.7539
 7552.16   35.5637
 7582.12    35.655
 7612.09   36.1315
 7642.06   35.9858
 7672.03   35.9858
    7702   35.6979
 7731.97    35.513
 7761.94   35.3726
 7791.91   35.2334
 7821.88    35.519
 7851.84   35.3802
 7881.81   35.7962
 7911.78    36.206
 7941.75    36.312
 7971.72    36.312
 8001.69    36.312
 8031.66   36.1723
 8061.62   36.1723
 8091.59   36.1723
 8121.56   36.1723
 8151.53   36.0337
  8181.5   36.0337
 8211.47   35.8962
 8241.44   35.8962
 8271.41   35.8962
 8301.38   35.8962
 8331.34   35.7597
 8361.31   35.7597
 8391.28   35.7597
 8421.25   35.6242
 8451.22   35.4898
 8481.19   35.4898
 8511.16   35.3564
 8541.12   35.3564
 8571.09    35.224
 8601.06    35.224
 8631.03    35.224
    8661    35.224
 8690.97   35.2519
 8720.94   35.2519
 8750.91    35.296
 8780.88   35.4496
 8810.84    35.437
 8840.81   35.3067
 8870.78   35.1742
 8900.75    35.177
 8930.72    35.177
 8960.69    35.336
 8990.66   35.3217
 9020.62   35.5668
 9050.59   35.5378
 9080.56   35.2876
 9110.53   35.2876
  9140.5   35.8934
 9170.47   35.8934
 9200.44   35.8934
 9230.41   36.3955
 9260.38   36.7527
 9290.34   36.6264
 9320.31   36.3764
 9350.28   36.7201
 9380.25   36.5956
 9410.22    36.472
 9440.19   36.7292
 9470.16   37.1069
 9500.12   37.1069
 9530.09   36.9832
 9560.06   37.4264
 9590.03   37.3025
    9620   37.3025
 9649.97   37.3025
 9679.94   37.3025
 9709.91   37.1794
 9739.88   37.0571
 9769.84   37.0571
 9799.81   37.0175
 9829.78   38.2124
 9859.75   38.2124
 9889.72   38.9943
 9919.69   38.9943
 9949.66   39.9138
 9979.62   39.9138
 10009.6   40.7198
 10039.6   41.3993
 10069.5   41.2667
 10099.5   41.1348
 10129.5   41.1348
 10159.4   41.0038
 10189.4   40.8736
 10219.4   40.8736
 10249.3   40.6158
 10279.3   40.6158
 10309.3   40.5898
 10339.2   40.4625
 10369.2   40.3105
 10399.2   40.3105
 10429.2   40.3105
 10459.1   40.1247
 10489.1   40.1247
 10519.1   40.0008
   10549   40.0008
   10579   40.0008
   10609   39.8778
 10638.9   39.8778
 10668.9   39.6339
 10698.9   39.6339
 10728.8   39.9285
 10758.8   39.9285
 10788.8   39.9285
 10818.8   39.8078
 10848.7   39.6879
 10878.7   39.5687
 10908.7   39.4503
 10938.6   39.3325
 10968.6   39.3325
 10998.6   39.4792
 11028.5   39.4792
 11058.5   39.2456
 11088.5   39.2456
 11118.4   39.3545
 11148.4   39.3545
 11178.4   39.2388
 11208.3   39.3689
 11238.3   39.3689
 11268.3    39.597
 11298.2    39.854
 11328.2    39.854
 11358.2    39.854
 11388.2   39.7391
 11418.1   40.3804
 11448.1   40.2647
 11478.1   40.2647
   11508   40.2647
   11538   40.0353
   11568   40.0353
 11597.9   41.1551
 11627.9   40.9233
 11657.9   40.9233
 11687.8   40.8083
 11717.8   40.8083
 11747.8   41.7712
 11777.8   41.7712
 11807.7   42.5502
 11837.7   42.5502
 11867.7   42.4327
 11897.6   43.5529
 11927.6   45.6006
 11957.6   45.6006
 11987.5    45.476
 12017.5   45.3521
 12047.5   46.3386
 12077.4   48.2032
 12107.4   49.0008
 12137.4   49.0008
 12167.3   49.0008
 12197.3   48.8698
 12227.3   49.8485
 12257.2   49.8485
 12287.2   49.8485
 12317.2   50.9785
 12347.2   50.8433
 12377.1   50.7088
 12407.1    50.575
 12437.1    50.575
   12467   50.4419
   12497   50.4419
   12527   50.3095
 12556.9   50.5449
