Tiempos de Espera - Observation Histogram
procesed = 878
mean = 57.1836	variance = 15270.8	sd = 123.575
minX = 0	maxX = 942.924
minY = 1	maxY = 567

       0 ***********************************************************       567
 18.8585 *****                                                              57
  37.717 ****                                                               40
 56.5755 **                                                                 22
 75.4339 *                                                                  19
 94.2924 **                                                                 20
 113.151 **                                                                 21
 132.009 *                                                                  19
 150.868 *                                                                  14
 169.726 *                                                                  12
 188.585                                                                     9
 207.443                                                                     6
 226.302                                                                     5
  245.16 *                                                                  11
 264.019                                                                     6
 282.877                                                                     6
 301.736                                                                     3
 320.594                                                                     4
 339.453                                                                     3
 358.311                                                                     5
  377.17                                                                     3
 396.028                                                                     5
 414.887                                                                     3
 433.745                                                                     3
 452.604                                                                     2
 471.462                                                                     2
 490.321                                                                     1
 509.179                                                                     0
 528.038                                                                     0
 546.896                                                                     0
 565.755                                                                     1
 584.613                                                                     0
 603.472                                                                     0
  622.33                                                                     0
 641.189                                                                     0
 660.047                                                                     0
 678.906                                                                     0
 697.764                                                                     0
 716.622                                                                     1
 735.481                                                                     1
 754.339                                                                     1
 773.198                                                                     1
 792.056                                                                     2
 810.915                                                                     1
 829.773                                                                     0
 848.632                                                                     0
  867.49                                                                     0
 886.349                                                                     0
 905.207                                                                     0
 924.066                                                                     2
