Cantidad de clientes TS - Time Series Histogram
procesed = 2877.9
mean = 14434.5	variance = 6.80965e+07	sd = 8252.06
minX = 30	maxX = 28800
minY = 0	maxY = 3.45358

      30         0
 59.9688         2
 89.9375   2.57362
 119.906   2.83096
 149.875   2.49939
 179.844   2.49939
 209.812   2.52073
 239.781   2.66441
  269.75   2.66441
 299.719   2.54949
 329.688   2.54949
 359.656    2.2128
 389.625    2.2128
 419.594   2.18627
 449.562   2.11391
 479.531    2.1482
   509.5   2.25133
 539.469   2.31166
 569.438   2.26842
 599.406   2.26842
 629.375   2.26842
 659.344   2.26842
 689.312   2.26842
 719.281    2.2126
  749.25   2.25324
 779.219   2.32027
 809.188   2.36872
 839.156   2.40263
 869.125   2.40443
 899.094   2.48334
 929.062   2.55157
 959.031   2.63505
     989   2.65328
 1018.97   2.67602
 1048.94   2.73255
 1078.91   2.84459
 1108.88   2.84459
 1138.84   2.92225
 1168.81   2.97608
 1198.78   2.97608
 1228.75   3.03268
 1258.72   3.10114
 1288.69   3.10114
 1318.66   3.11522
 1348.62   3.14946
 1378.59   3.15153
 1408.56   3.13558
 1438.53    3.1547
  1468.5   3.19127
 1498.47   3.19039
 1528.44    3.1829
 1558.41    3.1829
 1588.38   3.16758
 1618.34   3.16436
 1648.31   3.16436
 1678.28   3.06661
 1708.25   2.99612
 1738.22   2.99612
 1768.19   2.89619
 1798.16   2.89619
 1828.12   2.89619
 1858.09   2.89619
 1888.06   2.78984
 1918.03    2.8227
    1948   2.82997
 1977.97   2.82265
 2007.94   2.81248
 2037.91   2.78899
 2067.88   2.75115
 2097.84   2.71969
 2127.81   2.70049
 2157.78   2.71442
 2187.75   2.70742
 2217.72    2.7158
 2247.69    2.7213
 2277.66    2.7427
 2307.62   2.76174
 2337.59   2.76241
 2367.56   2.76688
 2397.53   2.77543
  2427.5   2.77357
 2457.47   2.78378
 2487.44   2.79338
 2517.41   2.79338
 2547.38   2.78102
 2577.34    2.7749
 2607.31    2.7887
 2637.28   2.82077
 2667.25   2.85246
 2697.22   2.89788
 2727.19   2.90915
 2757.16   2.93127
 2787.12   2.94605
 2817.09   2.94752
 2847.06   2.94107
 2877.03   2.92999
    2907   2.92534
 2936.97   2.92534
 2966.94   2.90326
 2996.91   2.89653
 3026.88   2.86688
 3056.84   2.86688
 3086.81   2.86688
 3116.78   2.82327
 3146.75   2.81392
 3176.72   2.80919
 3206.69   2.80592
 3236.66   2.80684
 3266.62   2.82258
 3296.59   2.83925
 3326.56   2.85831
 3356.53   2.88253
  3386.5   2.89524
 3416.47   2.90268
 3446.44   2.89524
 3476.41   2.88756
 3506.38   2.88756
 3536.34   2.85279
 3566.31   2.85674
 3596.28   2.85896
 3626.25   2.85315
 3656.22   2.85315
 3686.19   2.87128
 3716.16   2.87303
 3746.12   2.89822
 3776.09   2.90848
 3806.06   2.94903
 3836.03   2.94903
    3866   2.94903
 3895.97   2.99134
 3925.94    2.9937
 3955.91    3.0013
 3985.88   3.02275
 4015.84   3.03879
 4045.81   3.03879
 4075.78   3.10649
 4105.75   3.14925
 4135.72   3.19435
 4165.69   3.23416
 4195.66   3.27102
 4225.62   3.31992
 4255.59   3.33568
 4285.56   3.33568
 4315.53   3.41568
  4345.5   3.43957
 4375.47   3.43957
 4405.44   3.45358
 4435.41   3.45007
 4465.38   3.45007
 4495.34   3.45007
 4525.31   3.40283
 4555.28   3.39161
 4585.25   3.37983
 4615.22   3.37983
 4645.19   3.34396
 4675.16   3.33404
 4705.12   3.30897
 4735.09   3.29978
 4765.06    3.2783
 4795.03    3.2783
    4825   3.24481
 4854.97   3.22903
 4884.94   3.22903
 4914.91    3.2143
 4944.88   3.21695
 4974.84   3.22537
 5004.81   3.22751
 5034.78   3.22603
 5064.75   3.23097
 5094.72   3.23861
 5124.69   3.24218
 5154.66   3.23434
 5184.62     3.229
 5214.59   3.21585
 5244.56   3.21781
 5274.53   3.22155
  5304.5    3.2162
 5334.47   3.22392
 5364.44   3.22167
 5394.41   3.22332
 5424.38   3.22332
 5454.34   3.21532
 5484.31   3.21362
 5514.28   3.22092
 5544.25   3.22468
 5574.22   3.22963
 5604.19   3.23668
 5634.16   3.23556
 5664.12   3.21656
 5694.09   3.20915
 5724.06   3.20915
 5754.03   3.18259
    5784   3.18255
 5813.97   3.17342
 5843.94    3.1722
 5873.91   3.15409
 5903.88   3.14843
 5933.84   3.15272
 5963.81   3.14865
 5993.78   3.14833
 6023.75   3.15391
 6053.72    3.1766
 6083.69   3.19807
 6113.66   3.20348
 6143.62   3.20348
 6173.59   3.20042
 6203.56   3.20211
 6233.53   3.21106
  6263.5   3.21106
 6293.47   3.22502
 6323.44   3.22484
 6353.41   3.22727
 6383.38   3.22604
 6413.34    3.2225
 6443.31   3.21145
 6473.28   3.20495
 6503.25   3.19919
 6533.22   3.19806
 6563.19    3.1953
 6593.16    3.1953
 6623.12    3.1938
 6653.09   3.18618
 6683.06   3.18269
 6713.03   3.18449
    6743   3.19019
 6772.97   3.20205
 6802.94   3.20249
 6832.91   3.20009
 6862.88   3.19412
 6892.84   3.19518
 6922.81   3.20494
 6952.78    3.2104
 6982.75   3.21025
 7012.72   3.21025
 7042.69   3.20507
 7072.66   3.20484
 7102.62   3.19784
 7132.59   3.19784
 7162.56    3.1873
 7192.53   3.18441
  7222.5   3.17386
 7252.47   3.16822
 7282.44   3.16814
 7312.41   3.17908
 7342.38   3.18083
 7372.34    3.1909
 7402.31   3.19155
 7432.28   3.18715
 7462.25   3.18877
 7492.22   3.20066
 7522.19   3.20618
 7552.16   3.20914
 7582.12   3.20852
 7612.09   3.20852
 7642.06   3.21394
 7672.03   3.20452
    7702   3.20299
 7731.97   3.20527
 7761.94   3.21186
 7791.91   3.22907
 7821.88   3.23426
 7851.84   3.23894
 7881.81   3.23914
 7911.78   3.23765
 7941.75   3.22995
 7971.72    3.2168
 8001.69    3.2168
 8031.66   3.20045
 8061.62   3.18016
 8091.59   3.18016
 8121.56   3.18016
 8151.53   3.15772
  8181.5   3.15772
 8211.47   3.14955
 8241.44   3.14955
 8271.41    3.1305
 8301.38    3.1305
 8331.34    3.1093
 8361.31    3.1093
 8391.28    3.1093
 8421.25   3.09715
 8451.22   3.09261
 8481.19   3.08243
 8511.16    3.0738
 8541.12    3.0738
 8571.09   3.06695
 8601.06   3.06345
 8631.03   3.06345
    8661   3.05589
 8690.97   3.05429
 8720.94   3.05311
 8750.91   3.04209
 8780.88   3.03745
 8810.84   3.03745
 8840.81   3.03069
 8870.78   3.03123
 8900.75   3.03804
 8930.72   3.04185
 8960.69   3.03951
 8990.66   3.04382
 9020.62    3.0511
 9050.59   3.05422
 9080.56   3.05693
 9110.53   3.05582
  9140.5   3.05596
 9170.47   3.05596
 9200.44   3.05547
 9230.41     3.057
 9260.38     3.057
 9290.34   3.05745
 9320.31   3.06193
 9350.28   3.06193
 9380.25   3.06305
 9410.22   3.07251
 9440.19   3.07418
 9470.16    3.0771
 9500.12    3.0771
 9530.09   3.08937
 9560.06   3.08916
 9590.03   3.09044
    9620   3.10114
 9649.97   3.10396
 9679.94   3.10317
 9709.91   3.10353
 9739.88   3.10453
 9769.84   3.10493
 9799.81    3.1141
 9829.78   3.11724
 9859.75   3.11359
 9889.72   3.11359
 9919.69   3.11359
 9949.66   3.11359
 9979.62   3.11359
 10009.6   3.07371
 10039.6   3.07371
 10069.5   3.05704
 10099.5   3.05551
 10129.5   3.05551
