Media de largo de la cola TS - Time Series Histogram
procesed = 2071.88
mean = 2411.09	variance = 691497	sd = 831.563
minX = 30	maxX = 3600
minY = 0	maxY = 33.3671

      30         0
   59.75         0
    89.5   0.40978
  119.25  0.412746
     149  0.503676
  178.75  0.688594
   208.5  0.852289
  238.25    1.0057
     268   1.31749
  297.75   1.89889
   327.5    2.1374
  357.25   2.43446
     387   2.84937
  416.75   3.08729
   446.5   3.41006
  476.25   3.62876
     506   4.04231
  535.75   4.25787
   565.5   4.63319
  595.25   4.94839
     625   5.23235
  654.75   5.47535
   684.5   5.80208
  714.25   5.98839
     744   6.43884
  773.75   6.74067
   803.5   7.26435
  833.25   7.59755
     863   8.03294
  892.75   8.47819
   922.5   8.91853
  952.25   9.30537
     982   9.64735
 1011.75   9.97322
  1041.5   10.4202
 1071.25   10.9085
    1101   11.2816
 1130.75   11.6853
  1160.5   12.0986
 1190.25   12.2907
    1220   12.7295
 1249.75   13.2092
  1279.5   13.6166
 1309.25     13.86
    1339   14.2037
 1368.75   14.4848
  1398.5   14.7884
 1428.25   14.9209
    1458   15.2061
 1487.75   15.4894
  1517.5   15.7554
 1547.25   16.0266
    1577   16.2625
 1606.75   16.5121
  1636.5   16.7841
 1666.25   16.9864
    1696   17.2563
 1725.75   17.4163
  1755.5   17.6906
 1785.25   17.9755
    1815   18.2679
 1844.75   18.5663
  1874.5     18.85
 1904.25   19.0663
    1934   19.2454
 1963.75   19.5443
  1993.5    19.832
 2023.25   20.0289
    2053   20.2899
 2082.75   20.5602
  2112.5    20.823
 2142.25   20.9499
    2172   21.2227
 2201.75   21.5359
  2231.5   21.8628
 2261.25   22.0567
    2291   22.3102
 2320.75   22.5715
  2350.5   22.8275
 2380.25   22.9483
    2410   23.2742
 2439.75   23.4798
  2469.5   23.6833
 2499.25   23.9355
    2529   24.2027
 2558.75   24.4125
  2588.5   24.6713
 2618.25   24.8074
    2648   25.0777
 2677.75   25.3392
  2707.5   25.6003
 2737.25   25.8608
    2767   26.1208
 2796.75   26.3978
  2826.5   26.6911
 2856.25   26.8336
    2886   27.1318
 2915.75   27.4408
  2945.5   27.7934
 2975.25   28.0322
    3005    28.344
 3034.75   28.6918
  3064.5   28.9786
 3094.25   29.1288
    3124   29.5357
 3153.75   29.7536
  3183.5   30.0603
 3213.25   30.3618
    3243   30.6683
 3272.75   30.9785
  3302.5   31.2416
 3332.25   31.3829
    3362   31.7477
 3391.75   31.9445
  3421.5   32.2836
 3451.25   32.5279
    3481   32.8195
 3510.75   33.0918
  3540.5   33.3671
 3570.25   33.5552
